LANGUAGE, English, German
STRS_anim_var_vehicle_2, "Clean vehicle", "Fahrzeug saeubern"
STRS_anim_var_vehicle_3, "Check wheel", "Rad checken"
STRS_anim_var_bend_2, "Knee bend", "Knee bend"
STRS_anim_var_sprint_1, "Sprint 1", "Sprinten 1"
STRS_anim_var_sprint_2, "Sprint 2", "Sprinten 2"

STRD_anim_description_header, "Animations", "Animationen"
STRD_anim_description_submit, "Perform animation", "Animation ausfuehren"

// WETTERBERICHT
// ################################################################################################schnick

STRS_forecast_loading, "Sorry, the forecast is loading.", "Der Wetterbericht laed noch."
STRS_wetterfogmsg1, "no", "kein"
STRS_wetterfogmsg2, "a little", "ein wenig"
STRS_wetterfogmsg3, "much", "viel"
STRS_wetterrainmsg1, "no", "kein"
STRS_wetterrainmsg2, "a little", "ein wenig"
STRS_wetterrainmsg3, "heavy", "viel"
STRS_wetterovercastmsg1, "clear", "klar"
STRS_wetterovercastmsg2, "a little cloudy", "leicht bewoelkt"
STRS_wetterovercastmsg3, "dark and cloudy", "stark bewoelkt"
STRS_forecast, "The sky will be %3 and there will be %1 fog. Expect %2 rain. \n\n Wind:\n%4\n%5", "Der Wetterbericht sagt %2 Regen vorraus. Es wird %1 Nebel geben und der Himmel wird %3 sein. \n\n Wind:\n%4\n%5"

STRS_wetter_wind_xrichtung_ost, "%1 m/s from East", "%1 m/s aus Osten"
STRS_wetter_wind_xrichtung_west, "%1 m/s from West", "%1 m/s aus Westen"
STRS_wetter_wind_xrichtung_still, "%1 m/s", "%1 m/s"
STRS_wetter_wind_xrichtung_sued, "%1 m/s from South", "%1 m/s aus Sueden"
STRS_wetter_wind_xrichtung_nord, "%1 m/s from North", "%1 m/s aus Norden"
// ALLGEMEINE STRINGS
// ############################################################################001

STRS_player_not_ingame, "Error: Player not in-game.", "Fehler: Person ist nicht im Spiel."
STRS_maxmoney, "You can't have more than $1000000 in your inventory or in the bank. Money has been removed.", "Du kannst soviel money nicht in dem Inventar oder auf der Bank haben. money wurde entfernt."
STRS_not_copaction, "You are not a cop and cannot use this action.", "Du bist kein Cop und kannst diese Aktion nicht benutzen."
STRS_kein_money, "Not enough money.", "Nicht genug money."
STRS_check_inventarmoney, "You have $%1.", "Du hast $%1."
STRS_not_ingame, "Selected Player is not in-game.", "Spieler ist nicht im Spiel."
STRS_wrong_input, "Wrong Input. You are not allowed to use that character (%1).", "Falsche Eingabe. Du darfst dieses Zeichen nicht verwenden (%1)."
STRS_text_zu_lang, "The entered text is too long.", "Der eingegebene Text ist zu lang."
STRS_no_selection, "Nothing selected.", "Nichts ausgewaehlt."
STRS_empty_string, "", ""
STRS_ja,"Yes","Ja"
STRS_nein,"No","Nein"
STRS_keine, "None","Keine"
STRS_keins, "Nothing","Keins"
STRS_were, "were", "warst"
STRS_nowere, "were not", "warst nicht"
STRS_no_valid_number, "The value is not a valid number.", "Der Wert ist keine Zahl."

STRD_grafikeinstellungen_header, "Settings", "Einstellungen"
STRD_grafikeinstellungen_header_terrain, "Terrain Detail", "Terrain Detail"
STRD_grafikeinstellungen_header_viewdistance, "View distance", "Sichtweite"
STRD_grafikeinstellungen_close, "Close", "Schliessen"

// INVENTAR
// ################################################################################################dams

STRS_inv_kein_money, "Not enough money.", "Nicht genug geld."
STRS_inv_no_valid_number, "The value is not a valid number.", "Der Wert ist keine Zahl."

STRS_inv_fac_buy, "Buy this factory ($%1)", "Diese Fabrik kaufen ($%1)"
STRS_inv_fac_mani, "Manufacture an item", "Stelle ein Ojekt her"
STRS_inv_fac_storage, "Storage", "Lager"
STRS_inv_fac_success, "Item manufactured!", "Item hergestellt!"
STRS_inv_no_selection, "You did not select an item.", "Du hast kein Item ausgewaehlt."
STRS_inv_fac_cannot_mani_item, "You cannot manufacture this item.", "Du kannst dieses Item nicht herstellen."
STRS_inv_fac_not_enough, "You do not have enough items in the storage of this factory.", "Du hast nicht genug Items in dem Lager dieser Fabrik."
STRS_inv_facdialog_menge, "%1 (%2x - %3 available)", "%1 (%2x - %3 verfuegbar)"
STRS_inv_description_factory_manifacture, "Manufacture (%1x)", "Herstellen (%1x)"
STRS_inv_fac_dia_herstellen, "M A N U F A C T U R E - I T E M S", "I T E M S - H E R S T E L L E N"
STRS_inv_fac_dia_lager, "NEEDED RESOURCES - STORAGE", "BENOETIGTE RESSOURCEN - LAGER"

STRS_inv_actions_itemgather, "Gather Item", "Item sammeln"
STRS_inv_actions_buy, "Buy %1 ($%2)", "%1 ($%2) kaufen"
STRS_inv_actions_remove, "Remove %1", "%1 ablegen"

STRS_inv_buylicense_alreadytrue, "You already have that License.", "Du hast diese Lizenz bereits."
STRS_inv_buylicense_nomoney, "You do not have enough money for that license.", "Du hast nicht genug geld fuer diese Lizenz."
STRS_inv_buylicense_gottraining, "You bought a %2 for $%1.", "Du hast eine %2 fuer $%1 gekauft."
STRS_inv_buylicense_alreadyfalse, "You do not have that License/Training.", "Du hast diese(s) Lizenz/Training nicht."
STRS_inv_buylicense_losttraining, "You lost your %1.", Du hast dein(e) %1 verloren."

STRS_inv_buyitems_get_zuschwer, "Your weight reached the maximum capacity. You are not able to carry more objects.", "Dein Gewicht hat das Maximum erreicht. Du kannst nicht mehr Objekte aufnehmen."
STRS_inv_buyitems_get_erhalten, "You got %1 %2.", "Du hast %1 %2 bekommen."
STRS_inv_buyitems_notallowed, "You are not allowed to buy this item.", "Du darfst dieses Item nicht kaufen."

STRS_inv_cannotUseNow, "You cannot use the inventory now.", "Du kannst das Inventar gerade nicht benutzen."

STRS_inv_inventar_weggeworfen, "You dropped the item.", "Du hast das Item abgelegt."
STRS_inv_inventar_drop_zuwenig, "You don't have that many objects to drop.", "Du hast nicht soviele Gegenstaende, die du ablegen kannst."
STRS_inv_inventar_ablege_verbot, "You are not allowed to drop this object.", "Du darfst diesen gegenstand nicht einfach ablegen."
STRS_inv_inventar_cannotuse, "You cannot use this item.", "Du kannst dieses Item nicht benutzen."
STRS_inv_inventar_gotfromotherplayer, "You got %1 %2 from %3.", "Du bekamst %1 Einheiten %2 von %3."
STRS_inv_inventar_cannotdrop, "You can not drop an object right now.", "Du kannst jetzt kein Item ablegen."

STRS_inv_inventardialog_empty, "Your inventory is empty.", "Dein Inventar ist leer"
STRS_inv_inventardialog_amount, "Amount: %1", Menge: %1"

STRS_inv_storage_weightmax, "You cannot drop this as it will pass the maximum weight for this vehicle", "du kannst das item nicht ablegen da der kofferraum voll ist"
STRS_inv_storage_took, "You took %1 of the Item.", "Du hast %1 Einheiten dieses Items genommen."
STRS_inv_storage_toomuch, "There are not that many items in the storage.", "Es gibt nicht genug Items in diesem Lager."
STRS_inv_storage_dropnotallowed, "Not allowed to drop that item in a factory.", "Es ist nicht erlaubt, dieses Item in einem Lager zu plazieren."
STRS_inv_storage_dropunablesomuch, "You are not able to drop that much.", "Es ist nicht erlaubt, so viel abzulegen."
STRS_inv_storage_dropped, "You dropped %1 of the item.", "Du hast %1 Einheiten des Items abgelegt."
STRS_inv_storage_cannotdropsomuch, "You cannot drop that much here.", "Du kannst hier nicht so viel ablegen."
STRS_inv_storage_deleted, "%1 units of the item deleted.", "%1 Einheiten des Item gelöscht."
STRS_inv_storage_spam, "You are still taking/droping items... wait a few seconds.", "Du bist gerade noch am packen... warte ein paar Sekunden."

STRS_inv_alreadygotshop, "You already own this building.", "Dir gehoert dieses Geschaeft bereits."
STRS_inv_gotshop, "%1, you bought this building for $%2.", "%1, Du hast dieses Geschaeft fuer $%2 gekauft."

STRS_inv_fabrik_dialogheader1, "Take Items", "Items aufnehmen"
STRS_inv_fabrik_dialogheader2, "Store Items", "Items Ablegen"

STRS_inv_storagedialog_take, "Take %1 Item(s) (%2kg)", "Nimm %1 Item(s) (%2kg)"
STRS_inv_storagedialog_drop, "Drop %1 Item(s) (%2kg)", "Lege %1 Item(s) (%2kg) ab"

STRS_inv_shopdialog_money, "Money: $%1", "Geld: $%1"
STRS_inv_shopdialog_itemshop, "Your current Money: $%1", "Dein aktuelles Geld: $%1"

STRS_inv_buyitems_maxgewicht, "Max weight reached. You can not carry any more items.", "Maximalgewicht ueberschritten, du kannst nicht mehr Items tragen"
STRS_inv_buyitems_keinmoney, "You do not have enough money.", "Du hast nicht genug geld."
STRS_inv_buyitems_gekauft, "You bought %1 %2 for $%3", "Du hast dir %1 %2 fuer $%3 gekauft."
STRS_inv_buyvehicles_store_in_use, "This store is busy at the moment. Please try again later.", "Dieser Laden ist derzeit beschaeftigt, bitte versuche es spaeter erneut."
STRS_inv_buyvehicles_buy_car, "You bought a %1 for $%2. Please wait five seconds until the vehicle spawns.", "Du hast dir ein %1 fuer $%2 gekauft. Bitte warte 5 Sekunden, bis das Vehikel spawnt."
STRS_inv_buyvehicles_destroyed, "The vehicles is destroyed.", "Das Fahrzeug ist zerstört."
STRS_inv_buyvehicles_noowner, "You are not the owner of this vehicle.", "dir gehoert dieses Fahrzeug nicht."
STRS_inv_buyitems_sell_notenough, "You do not have enough items to sell.", "Du hast nicht genug items zum Verkaufen."
STRS_inv_buyitems_verkauft, "You sold %1 %2 for $%3.", "Du hast %1 %2 fuer $%3 verkauft."
STRS_inv_buyitems_sell_toofar, "The vehicle is too far away.", "Das Fahrzeug ist zu weit entfernt."
STRS_inv_buyitems_nolicense, "You do not have the license/training for that object.", "Du hast nicht die Lizenz/Training fuer dieses Objekt."

STRS_inv_shop_sold, "You sold %1 %2 for $%3.", "Du hast %1 Einheiten %2 fuer $%3 verkauft."
STRS_inv_shop_vehiclesold, "You sold the vehicle for $%1.", "Du hast das Vehikel fuer $%1 verkaufen."

STRD_inv_description_inventar_header, "Inventory", "Inventar"
STRD_inv_description_factory_manifacture_header, "Factory", "Fabrik"
STRD_inv_description_close, "Close", "Schliessen"
STRD_inv_description_itemmenu_title, "Buy Items", "Items kaufen"
STRD_inv_description_itemmenu_title2, "Sell Items", "Items verkaufen"
STRD_inv_description_inventar_use, "Use", "Benutzen"
STRD_inv_description_buyitem_close, "Close", "Schliessen"
STRD_inv_description_inventar_drop, "Drop", "Ablegen"
STRD_inv_description_inventar_schluessel_uebergabe, "Give to player", "An Spieler uebergeben"
STRD_inv_description_inventar_item, "Item:", "Item:"
STRD_inv_description_inventar_amount, "Amount:", "Menge:"
STRD_inv_description_inventar_addinfo, "Additional Information:", "Zusaetzliche Informationen:"
STRD_inv_description_inventar_gewicht, "Item Weight single/overall:", "Itemgewicht einzeln/gesamt:"

STRS_inv_not_ingame, "Selected Player is not in-game.", "Spieler ist nicht im Spiel."
STRS_inv_inventar_uebergabe_self, "You can't give anything to yourself.", "Du kannst dir nichts selbst uebergeben."
STRS_inv_inventar_uebergabe_distance, "You have to be within at least 20 meters of the selected player.", "Du musst mindestens 20 Meter nah an dem entsprechendem Spieler sein."
STRS_inv_inventar_uebergabe_verbot, "You must not give this Item to other players.", "Dieses Item darf nicht uebergeben werden."
STRS_inv_inventar_uebergabe_zuwenig, "You don't have enough to give away that many of the item.", "Du hast nicht genug Items, um so viele uebergeben zu koennen"
STRS_inv_inventar_uebergabe_success_self, "You gave %1 %2 units of %3.", "Du hast %1 %2 Einheiten %3 gegeben."
STRS_inv_inventar_uebergabe_schluessel_success, "You got a key from another player. The Key is now on your Keychain.", "Du hast ein Auto von einem anderen Spieler erhalten. der Schluessel befindet sich nun an deinem Schluesselbund." 
STRS_inv_inventar_uebergabe_schluessel_success_self, "You gave the Key for the Vehicle to the selected player (It has been removed from your keychain).", "Du hast den Schluessel fuer das Fahrzeug abgegeben (Er wurde von deinem Schluesselbund entfernt)."

STRD_inv_description_inventar_header_police, "Police Inventory", "Polizisten Inventar"
STRD_inv_description_inventar_polheader_police, "Police Actions", "Polizei Aktionen"
STRD_inv_description_inventar_police_roadblock, "Place Roadblock", "Strassensperre Errichten"
STRD_inv_description_inventar_police_impoundw, "Impound Vehicle", "Fahrzeug Konfiszieren"
STRD_inv_description_inventar_police_impoundv, "Impound Weapon(s)", "Waffe(n) Konfiszieren"


// Apples
STRS_Drugs_Plant_apple, "You plant an apple plant, it will take some time to grow", "Du hast eine apfelpflanze gepflanzt, sie braucht einige zeit zum wachsen"
STRS_action_Drugs_appleBurn, "[Burn Apples]", "[Apfel verbrennen]"
STRS_action_Drugs_apple_Burn, "You set the apple plant on fire", "du verbrennst die apfelpflanze um beweise zu vernichten"
STRS_Drugs_apple_NearlyReady, "An apple plant is nearly ready to harvest", "eine apfelpflanze ist fast fertig und kann bald geerntet werden"
STRS_action_Drugs_AppleHarvest, "[Harvest Apples]", "[Apfel ernten]"
STRS_Drugs_apple_Ready, "An apple plant is ready to harvest", "eine apfelpflanze ist bereit zum ernten"
STRS_Drugs_HarvestApple, "You harvest an apple plant", "du erntest eine apfelpflanze"
STRS_inv_item_appleseed, "Apple seed", "Apfelseed"
STRS_item_appleseed_info, "Apple seed", "Apfelseed"
STRS_inv_item_apple, "Apple", "Apfel"
STRS_item_apple_info, "Apple", "Apfel"



// ITEMS
// ############################################################################101

// money
STRS_item_money, "Money", "geld"
STRS_item_money_info, "Buy licenses, vehicles, weapons, drugs and other items! Note that you can not carry more than $999,999.","Kauf Lizenzen, Fahrzeuge, Waffen, Drogen und andere Gegenstaende. Bitte beachte, das du als maximum $999.999 tragen kannst."
STRS_inventar_money, "You cannot use money. If you buy something, it will be removed automatically", "Du kannst geld nicht benutzen. Wenn du etwas kaufst, wird es automatisch entfernt"
STRS_item_illegal_money, "Illegal Money", "Schwarzgeld"
STRS_item_illegal_money_info, "Illegal Money", "Schwarzgeld"

// SPEEDCAM

STRS_inv_item_speedcam, "Speed Camera", "Blitzer"
STRS_inv_item_speedcam_info, "", ""
STRS_inv_item_speedcam_nothing, "", ""

// DEFUSER

STRS_inv_item_defuser, "Defuser", "Bombenentschaerfer"
STRS_inv_item_defuser_info, "With this device you can defuse Satchel Charges and Mines.", "Mit diesem Geraet kannst du gelegte Verzoegerungsbomben und Minen entschaerfen."

STRS_inv_items_defuser_success, "Bomb defused.", "Bombe entschaerft."
STRS_inv_items_defuser_failed, "You made a mistake while defusing the bomb and it exploded!", "Du hast einen Fehler bei der entschaerfung gemacht, die Bombe ist explodiert!"
STRS_inv_items_defuser_nobomb, "No Bomb to defuse.", "Keine Bombe zum entschaerfen."

// GPS

STRS_inv_item_gps, "GPS", "GPS"
STRS_item_gps_info, "The Global Positioning System (GPS) is a U.S. space-based global navigation satellite system. It provides reliable positioning, navigation, and timing services to worldwide users on a continuous basis in all weather, day and night, anywhere on or near the Earth.", "Global Positioning System (GPS) ist ein globales Navigationssatellitensystem zur Positionsbestimmung und Zeitmessung"

// REPAIR UND REFUEL

STRS_inv_item_repairkit, "Repair Kit", "Reparaturkit"
STRS_inv_item_repairkit_info, "Use it within a vehicle to repair the vehicle. You have to be the driver","Benutz es in einem fahrzeug, um das Fahrzeug zu reparieren. Du musst dazu der fahrer sein."

STRS_inv_item_kanister, "Fuel-Can", "Benzin-Kanister"
STRS_inv_item_kanister_info, "A can. Use it in a car to refuel it a bit.","Ein Benzinkanister. Benutze diesen in einem fahrzeug, um das Fahrzeug etwas aufzutanken."
STRS_inv_item_avgascan, "AVGas-Can", "AVGas-Kanister"
STRS_inv_item_avgascan_info, "A AVGAS can. Use it in a Air Vehicle to refuel it a bit.","Ein AVGas-Kanister. Benutze diesen in einem Luft-Fahrzeug um es etwas aufzutanken."

STRS_inv_items_repair_refuel_wrongkit, "That item is not made for use on such a large vehicle.", "Dieses Item kann auf solch ein großes Fahrzeug nicht angewendet werden."
STRS_inv_items_repair_refuel_notincar, "You are not in a vehicle", "Du bist nicht in einem Fahrzeug"
STRS_inv_items_repair_refuel_notdriver, "You are not the driver", "Du bist nicht der Fahrer"
STRS_inv_items_repair_notneeded, "Your vehicle is not damaged", "Dein Vehikel ist nicht beschaedigt"
STRS_inv_items_repair_repaired, "You repaired that vehicle", "Du hast das Vehikel repariert"
STRS_inv_items_refuel_notneeded, "Your vehicle's fuel is already full", "Dein Fahrzeug ist bereits voll"
STRS_inv_items_refuel_refueled, "You refueled approx 5Ltr. in your vehicle.", "Du hast den 5Ltr Kanister in dein Vehikel getankt."
STRS_inventar_repair_repaired, "You repaired this vehicle.", "Du hast dieses Fahrzeug repariert."
STRS_inv_items_repair_wrongvcl, "You cannot repair this vehicle (with that item).", "Du kannst dieses Fahrzeug (mit diesem Item) nicht reparieren."
STRS_inv_items_repair_inprogress, "You are repairing your vehicle, this will take about 30 seconds. Stay outside the Vehicle and don't move.", "Das Fahrzeug wird repariert, das dauert ca. 30 Sekunden. Bleibe ausserhalb des Fahrzeugs und bewege es nicht."
STRS_inv_items_refuel_inprogress, "You are refuelling your vehicle with aprox. 5L, this will take about 20 seconds.", "Das Fahrzeug wird mit ca. 5L nachgetankt, das dauert ca. 20 Sekunden."
STRS_inv_items_repair_already, "You are already repairing this vehicle, please wait until it is done.", "Das Fahrzeug wird bereits repariert, bitte warten bis es fertig ist."
STRS_inv_items_refuel_already, "You are already refuelling this vehicle, please wait until it is done.", "Das Fahrzeug wird bereits betankt, bitte warten bis es fertig ist."
STRS_inv_items_refuel_airvehicle, "You can't use that fuel in an Air vehicle - you need AVGAS for that!", "Du kannst diesen Treibstoff nicht in Luftfahrzeugen verwenden - Du brauchst AVGAS!"
STRS_inv_items_refuel_Noairvehicle, "You can't use that kind of fuel in a NON Air vehicle!", "Du kannst diesen Treibstoff NUR in Luftfahrzeugen verwenden - Nicht in anderen!"
STRS_inv_items_refuel_AVGASinprogress, "You are refuelling your Air-vehicle with some Gallons of AVGas. This will take about 1-2 Minutes.", "Das Luft-Fahrzeug wird mit ein paar Galonen AVGas betankt, das dauert ca. 1-2 Minuten."
STRS_inv_items_refuel_AVGASrefueled, "You refueled a few Gallons of AVGAS in your air-vehicle.", "Du hast ein paar Galonen AVGAS in dein Luft-Fahrzeug getankt."
STRS_inv_items_refuel_AIRengineoff, "You have to turn off the engine first for safety, before attempting to refuel AVGAS", "Du musst zuerst den Motor aus Sicherheitsgruenden stoppen, bevor du versuchst AVGAS nachzutanken"
STRS_inv_items_refuel_engineoff, "You have to turn off the engine first for safety", "Aus Sicherheitsgründen musst du zuerst den Motor ausschalten"
STRS_inv_items_ignite_ignite, "The fuel is on fire!! GET OUT QUICKLY BEFORE IT EXPLODES!", "Das Benzin des Fahrzeugs ist entzuendet!! VERSCHWINDE SO SCHNELL DU KANNST BEVOR ES EXPLODIERT!"

//-----------IMPOUND--------------
STRS_item_impound, "Impound Vehicle Ticket", "Fahrzeug Beschlagnahmen Ticket"
STRS_item_impound_info, "With this ticket you can impound a vehicle near you. It will be moved to the impound-lot inside the Police base", "Mit diesem Ticket kannst du ein Fahrzeug in deiner Naehe beschlagnahmen. Es landet dann in der Polizeibasis auf dem Beschlagnahme Gelaende."
STRS_inventar_impound_zuweit, "There is no vehicle here", "Es ist kein Fahrzeug in der nähe"
STRS_inventar_impound_gesehen, "%1 has impounded vehicle (NAME: %2)!", "%1 Hat Fahrzeug beschlagnahmt (NAME: %2)!"
STRS_inventar_impound_already, "You cant impound your own vehicle!!.", "Du kannst dein eigenes Fahrzeug nicht beschlagnahmen!!."
STRS_inventar_impound_success, "You have impounded this vehicle!", "Du hast dieses Fahrzeug beschlagnahmt!"
STRS_inventar_impound_noluck, "You have failed to impound this vehicle!", "Du bist beim Versuch das Fahrzeug zu beschlagnahmen, fehlgeschlagen!"
STRS_inventar_impound_cant, "You cant impound a vehicle with living passengers inside", "Du kannst kein Fahrzeug mit lebenden Insassen beschlagnahmen"

// SCHLUESSEL

STRS_inv_item_schluesselbund, "Keychain", "Schluesselbund"
STRS_inv_item_schluesselb_info, "On this keychain there are keys for all the vehicles you own. Using this object will open a dialog where you can choose the vehicle you want to lock/unlock.","Am Schluesselbund befinden sich die Schluessel aller Fahrzeuge in deinem Besitz. Wenn du auf benutzen klickst, oeffnet sich eine Liste, in der du alle Schluessel aufgelistet hast. Waehle einen Schluessel aus, und klick auf >benutzen<, um ein Fahrzeug auf/abzuschliessen."

STRS_inv_items_vehiclelock_closer, "You have to be closer to your car!", "Du musst naeher an dem Fahrzeug sein, um es oeffnen zu koennen!"
STRS_inv_items_vehiclelock_locked, "Vehicle locked.", "Fahrzeug abgeschlossen."
STRS_inv_items_vehiclelock_unlocked, "Vehicle unlocked.", "Fahrzeug aufgeschlossen."
STRS_inv_items_uebergabe_schluessel_success_self, "You gave the Key for the Vehicle to the selected player (It has been removed from your keychain).", "Du hast den Schluessel fuer das Fahrzeug abgegeben (Er wurde von deinem Schluesselbund entfernt)."
STRS_inv_items_uebergabe_schluessel_success, "You got key from another player. The Key is now on your Keychain.", "Du hast ein Auto von einem anderen Spieler erhalten. der Schluessel befindet sich nun an deinem Schluesselbund." 
STRS_inv_items_weggeworfen, "You dropped the item.", "Du hast das Item abgelegt."


// NITRO

STRS_inv_item_nitro, "Nitro", "Nitro"
STRS_inv_item_nitro_info, "Speed-tuning for vehicles. Use this upgrage within a vehicle to activate the speedupgrage.","Geschwindigkeitstuning fuer Fahrzeuge. Benutze dieses Upgrade in einem Fahrzeug, um die Nitroeinspritzung des Fahrzeuges zu aktivieren."

STRS_inv_items_speed_no, "You can't tune this car!", "Du kannst dieses Auto nicht aufruesten!"
STRS_inv_items_speed_car, "You are not inside a vehicle.", "Du bist nicht in einem Fahrzeug."
STRS_inv_items_speed_tuned, "You tuned this car! Use the action 'Use Nitro' in the car to speed up.", "Du hast das Fahrzeug getuned. Verwende die Aktion 'Nitro Aktivieren' im Wagen, um ihn zu beschleunigen."
STRS_inv_items_speed_nodriver, "You are not the driver of the vehicle.", "Du bist nicht der Fahrer des Fahrzeuges."
STRS_inv_items_speed_notmoving, "The vehicle is not moving.", "Das Fahrzeug bewegt sich nicht."
STRS_inv_items_speed_nocar, "You are not in a vehicle!", "Du bist nicht in einem Fahrzeug!"
STRS_inv_items_speed_nitroenabled, "Nitro enabled, it just drained 10% of your fuel.", "Nitro aktiviert, du hast verlierst 10% Treibstoff."
STRS_inv_items_speed_action, "Use Nitro", "Nitro aktivieren"


// WAFFENTASCHE

STRS_inv_item_waffentascbe, "Weapon Bag", "Waffentasche"
STRS_inv_item_waffentascbe_info, "With this Item you can remove a weapon lying on the ground. After usage, the item will be removed.", "Mit diesem Gegenstand kannst du eine herumliegende Waffe entfernen. Danach wird es entfernt."

STRS_inv_items_weapondeleted, "%1 weapons impounded, scrapped and molten afterwards. The Police got %2 Units of steel in its public storage for that.", "%1 Waffen Konfisziert, Verschrottet und anschliessend Eingeschmolzen. Die Polizei bekommt dafuer %2 Einheiten Stahl in ihr Gemeinsames Lager."
STRS_inv_items_weaponcargocleared, "Weapon Cargo of this vehicle was impounded and then molten. You got 2 Units of steel in the public storage for that", "Der Waffenvorrat des Fahrzeugs wurde eingezogen und dann eingeschmolzen. Ihr bekommt 2 Einheit Stahl in euer Gemeinsames Lager dafuer."


// WAFFE

STRS_inv_item_waffe, "Weapon", "Waffe"
STRS_inv_item_waffe_info, "A Weapon you holstered. It is in your inventory. To unholster it, press >use<","Eine Waffe, die du geholstert hast. Um sie wieder in die Hand zu nehmen, drueck >benutzen<."

STRS_inv_item_waffe_noholster, "You can't holster/unholster the weapon now", "Du kannst die Waffe jetzt nicht wegstecken/rausholen"
STRS_inv_item_waffe_noweapon, "No weapon to hide.", "Du hast keine Waffe, die du verstecken koenntest."
STRS_inv_item_waffe_weaponHidden, "Weapon hidden in Inventory. You can unholster it by using your inventory.", "Waffe im Inventar versteckt. Du kannst sie wieder rausholen, indem du dein Inventar benutzt."
STRS_inv_item_waffe_weaponHiddenAlready, "Weapon hidden in Inventory, other taken out. Maybe you have to switch fire mode to use it.", "Waffe im Inventar versteckt, die andere wurde rausgenommen. Eventuell musst du den Feuermodus wechseln, um die Waffe benutzen zu koennen."
STRS_inv_item_waffe_weaponTakenout, "You took the weapon out of the inventory. Maybe you have to switch fire mode to use it.", "Du hast die Waffe aus dem Inventar genommen. Eventuell musst du den Feuermodus wechseln, um die Waffe benutzen zu koennen."


// MATERIAL

STRS_inv_items_ressources, "Ressources can not be used. You have to deposit them in factories.", "Ressourcen koennen nicht benutzt werden. Du musst sie in Fabriken ablegen."
STRS_inv_items_ignite_ignite_notincar, "You have to be in a car to use this", "Du musst dazu in einem Fahrzeug sein"


// SEIL

STRS_inv_item_seil, "Rope", "Seil"
STRS_inv_item_seil_info, "This Item can only be used in helicopters. With this item it is possible to attach a vehicle to the helicopter. While the attaching, the helo has to fly over the vehicle. When attached, you can transport the vehicle.", "Dieses Item kann nur in Hubschraubern benutzt werden. Damit ist es moeglich, Fahrzeuge unter dem Hubschrauber an den Heli zu haengen, dementsprechend muss er waehrend der benutzung fliegen. Die Fahrzeuge koennen dann vom Heli transportiert werden."
STRS_inv_item_seil_nokey, "Your missing the keys of the Vehicle", "Dir fehlen die Schlüssel zu dem Fahrzeug"
STRS_inv_item_seil_notinheli, "You are not in a helicopter.", "Du bist in keinem Helikopter."
STRS_inv_item_seil_notcloseenough, "You are not close enough to a vehicle.", "Du bist nicht in der Naehe eines Vehikels."
STRS_inv_item_seil_closetoground, "You are too close to the ground.", "Du bist zu nah am Boden."
STRS_inv_item_seil_action_release, "Release Vehicle", "Vehikel ausklinken"
STRS_inv_item_seil_action_released, "Vehicle released.", "Vehikel ausgeklinkt."


// DRUGS

STRS_inv_item_olives, "Olives", "Oliven"
STRS_item_olives_info, "Can be sold or eaten. Removes 5 hunger", "Koennen verkauft oder gegessen werden. Entfernt 5 Hunger"
STRS_inv_item_cocain, "High quality Cocaine", "Kokain hoher qualitaet"
STRS_inv_item_cocain_low, "Low quality Cocaine", "Kokain schlechte qualitaet"
STRS_inv_item_marihuana, "Marijuana", "Marihuana"
STRS_inv_item_lsd, "LSD", "LSD"
STRS_inv_item_drogen_info, "Drugs can either be sold at one of the flags or can be used by player. To do so, just choose the amount and press >use<. But be careful of the effects...","Drogen koennen entweder an der ensprechenden Fahne des jeweiligen Typs verkauft, oder vom Spieler selber benutzt werden. Dazu einfach die entsprechende Menge auswaehlen und auf >benutzen< klicken. Aber vorsicht vor den Wirkungen..."
STRS_inv_item_druguse_toomany, "You can't use that many drugs at the same time.", "Du kannst nicht so viele Drogen zur selben Zeit benutzen."
STRS_inv_item_druguse_ende, "The effects of the drugs diminish.", "Die Drogen lassen nach."
STRS_drugdealer_busted, "The Police just officially confirmed:\nThe Drugdealer has been busted", "Die Polizei hat soeben offiziell besteatigt:\nDer Drogendealer wurde geschnappt!"
STRS_addAction_drugdealerbust, "Bust Drugdealer", "Drogendealer Verhaften"
STRS_drugdealer_busted_more_money, "You got an additional Paycheck of 10.000$, since some cop busted the drugdealer", "Du bekommst einen zusaetzlichen Paycheck von 10.000$ weil ein Cop den Drogendealer verhaftet hat"


// ROADBLOCK
STRS_inv_item_roadblock, "Roadblock", "Strassensperre"
STRS_inv_item_roadblock_info, "A Roadblock. To place it, press use. The first time it is placed it costs $1000. To move it just "Use" the Roadblock in your inventory again.","Eine Strassensperre. Klick auf benutzen, um die Sperre zu plazieren. Beim ersten mal kostet dies etwas money. Um die Sperre zu verschieben, musst du nur das gleiche machen wie bei ersten plazieren."

STRS_inv_item_sperre_nomoney, "You cannot afford a Roadblock.", "Du kannst dir keine Strassensperre leisten."
STRS_inv_item_sperre_built, "You built a Roadblock, to move it just use the same action again. If you don't need the roadblock anymore, please move it away from the street.", "Du hast eine Strassensperre gebaut. Um diese zu bewegen benutze einfach die selbe Aktion nochmal. Wenn du die Sperre nicht mehr benoetigst, bewege sie bitte von der Strasse weg."
